file,dft,c,bv,ang,fold
482.vasp,-4642.59961834,324,0.61388,34,3
483.vasp,-4642.58078277,336,0.66323,29,2
484.vasp,-4642.59384332,336,0.62915,32,1
485.vasp,-4642.6136641,320,0.62592,32,5
486.vasp,-4642.76433586,300,0.31888,30,2
487.vasp,-4642.57744018,328,0.64707,34,1
488.vasp,-4642.64683665,324,0.62307,30,3
489.vasp,-4642.62227994,328,0.62046,30,1
49.vasp,-4642.63901921,320,0.58655,32,2
490.vasp,-4642.66365123,324,0.59071,28,5
491.vasp,-4642.57893293,320,0.66557,36,2
492.vasp,-4642.67962026,312,0.53994,26,1
493.vasp,-4642.57205405,328,0.64942,33,1
494.vasp,-4642.58206414,340,0.65257,32,5
495.vasp,-4642.61472524,320,0.62198,34,4
496.vasp,-4642.63712304,324,0.58685,28,2
497.vasp,-4642.60289939,336,0.62797,32,1
498.vasp,-4642.55141185,340,0.64104,36,3
499.vasp,-4642.54286498,340,0.68934,34,2
5.vasp,-4642.61703581,320,0.60898,34,2
50.vasp,-4642.57616976,332,0.62994,34,1
500.vasp,-4642.64098917,312,0.54417,34,4
501.vasp,-4642.60815434,328,0.6471,32,5
502.vasp,-4642.53582613,348,0.6655,34,2
503.vasp,-4642.54588358,348,0.6601,34,1
504.vasp,-4642.64506894,320,0.61237,30,2
505.vasp,-4642.66726457,320,0.56861,30,5
506.vasp,-4642.61656661,316,0.57886,32,1
507.vasp,-4642.61721521,320,0.63753,32,3
508.vasp,-4642.657313,324,0.59147,30,5
509.vasp,-4642.64235112,320,0.58282,32,1
51.vasp,-4642.67404668,320,0.58919,28,5
510.vasp,-4642.65977764,320,0.55814,28,3
511.vasp,-4642.62456775,324,0.61727,32,4
512.vasp,-4642.6308971,332,0.60253,30,2
513.vasp,-4642.57977595,332,0.64162,32,3
514.vasp,-4642.58717488,328,0.63183,34,5
515.vasp,-4642.65179308,320,0.58814,30,5
516.vasp,-4642.62925949,324,0.60521,32,2
517.vasp,-4642.61344513,320,0.60702,32,1
518.vasp,-4642.6392912,320,0.58273,30,5
519.vasp,-4642.5640348,328,0.61956,34,2
52.vasp,-4642.55766986,320,0.6473,36,1
520.vasp,-4642.55840681,336,0.64624,34,4
521.vasp,-4642.61732675,320,0.59081,36,4
522.vasp,-4642.79901479,296,0.25807,28,5
523.vasp,-4642.6026922,332,0.62242,32,1
524.vasp,-4642.62439912,328,0.61263,32,3
525.vasp,-4642.58486656,336,0.61933,32,4
526.vasp,-4642.56189734,340,0.64604,34,5
527.vasp,-4642.57935247,332,0.64102,34,2
528.vasp,-4642.79899824,296,0.25994,28,4
529.vasp,-4642.65421716,320,0.56242,31,3
53.vasp,-4642.63089712,332,0.60253,30,3
530.vasp,-4642.64683166,324,0.62306,30,5
531.vasp,-4642.55008157,340,0.65872,34,1
532.vasp,-4642.6364658,324,0.582,32,5
533.vasp,-4642.63499165,320,0.59669,32,2
534.vasp,-4642.66611413,320,0.56768,30,2
535.vasp,-4642.56559332,340,0.64007,34,4
536.vasp,-4642.50819319,348,0.6893,34,5
