file,dft,c,bv,ang,fold
170.vasp,-4001.77149848,328,0.65641,40,4
171.vasp,-4001.75903897,336,0.7108,40,4
172.vasp,-4001.77623521,324,0.6048,38,3
173.vasp,-4001.75548297,336,0.6475,40,3
174.vasp,-4001.77589914,324,0.66056,38,2
175.vasp,-4001.7701235,332,0.63721,38,5
176.vasp,-4001.77360982,324,0.65093,38,5
177.vasp,-4001.76329822,332,0.73215,38,4
178.vasp,-4001.76329209,332,0.73242,38,2
179.vasp,-4001.76331095,332,0.73243,38,1
18.vasp,-4001.74556876,320,0.66496,42,3
180.vasp,-4001.76329101,332,0.7323,38,1
181.vasp,-4001.77233778,328,0.71839,38,2
182.vasp,-4001.77233334,328,0.71855,38,5
183.vasp,-4001.77233647,328,0.71822,38,5
184.vasp,-4001.77233211,328,0.71844,38,3
185.vasp,-4001.77623429,324,0.60499,38,2
186.vasp,-4001.78159751,320,0.59086,40,1
187.vasp,-4001.77585662,324,0.66064,38,2
188.vasp,-4001.76776958,320,0.65251,40,5
189.vasp,-4001.77360645,324,0.65088,38,5
19.vasp,-4001.74175415,324,0.69176,42,4
190.vasp,-4001.77902489,316,0.6594,38,2
191.vasp,-4001.7720545,324,0.6443,38,5
192.vasp,-4001.77206389,324,0.64426,38,4
193.vasp,-4001.77207049,324,0.64446,38,3
194.vasp,-4001.77205343,324,0.64437,38,5
195.vasp,-4001.77916754,320,0.64421,38,3
196.vasp,-4001.77916096,320,0.64403,38,4
197.vasp,-4001.77915889,320,0.64472,38,2
198.vasp,-4001.77914019,320,0.64442,38,1
199.vasp,-4001.77146794,328,0.6696,40,2
2.vasp,-4001.74175919,324,0.69191,42,4
20.vasp,-4001.7455815,320,0.66482,42,4
200.vasp,-4001.77012637,332,0.63721,38,5
201.vasp,-4001.77362207,324,0.65112,38,2
202.vasp,-4001.7554937,336,0.6472,40,1
203.vasp,-4001.77590918,324,0.66026,38,3
204.vasp,-4001.76329663,332,0.73223,38,4
205.vasp,-4001.7632934,332,0.73259,38,1
206.vasp,-4001.76331003,332,0.7324,38,2
207.vasp,-4001.76329146,332,0.73242,38,1
208.vasp,-4001.77233977,328,0.70298,38,1
209.vasp,-4001.77233413,328,0.71862,38,1
21.vasp,-4001.74175157,324,0.67691,42,4
210.vasp,-4001.77233936,328,0.71827,38,5
211.vasp,-4001.77233468,328,0.71858,38,5
212.vasp,-4001.77360163,324,0.65104,38,4
213.vasp,-4001.77906835,316,0.65957,38,2
214.vasp,-4001.77582706,324,0.6605,38,1
215.vasp,-4001.76774668,320,0.65335,40,4
216.vasp,-4001.77205627,324,0.6438,38,5
22.vasp,-4001.74555885,320,0.66516,42,3
23.vasp,-4001.74172042,324,0.70693,42,1
24.vasp,-4001.74557626,320,0.6647,42,3
25.vasp,-4001.74174369,324,0.707,42,5
26.vasp,-4001.74175299,324,0.69163,42,3
27.vasp,-4001.74176396,324,0.69188,42,1
28.vasp,-4001.74556668,320,0.66498,42,3
29.vasp,-4001.74556957,320,0.66459,42,4
3.vasp,-4001.74553232,320,0.66505,42,3
30.vasp,-4001.74174241,324,0.72109,42,2
31.vasp,-4001.74172624,324,0.69196,42,5
32.vasp,-4001.74558306,320,0.66507,42,3
33.vasp,-4001.74553372,320,0.68176,42,3
34.vasp,-4001.77820755,328,0.69846,40,4
35.vasp,-4001.77867803,328,0.72235,40,1
36.vasp,-4001.78531061,324,0.67183,38,3
37.vasp,-4001.77192311,328,0.71794,40,3
38.vasp,-4001.78569235,324,0.64802,38,5
39.vasp,-4001.78112008,324,0.71264,38,2
4.vasp,-4001.74176757,324,0.69217,42,4
40.vasp,-4001.77990669,324,0.64417,38,4
41.vasp,-4001.77056284,332,0.73225,38,3
42.vasp,-4001.77055909,332,0.73236,38,4
43.vasp,-4001.77931992,324,0.64436,38,4
44.vasp,-4001.77931863,324,0.64386,38,4
45.vasp,-4001.77958633,328,0.71852,38,3
46.vasp,-4001.77958396,328,0.71909,38,1
47.vasp,-4001.78644413,320,0.6441,38,1
48.vasp,-4001.78642757,320,0.64399,38,1
49.vasp,-4001.7853134,324,0.67181,38,4
5.vasp,-4001.74555768,320,0.66494,42,5
50.vasp,-4001.77854183,328,0.70016,40,5
51.vasp,-4001.78570415,324,0.64794,38,4
52.vasp,-4001.77190791,328,0.71799,40,5
53.vasp,-4001.77988858,324,0.644,38,4
54.vasp,-4001.78120481,324,0.70434,38,4
55.vasp,-4001.77055941,332,0.7326,38,2
56.vasp,-4001.77057032,332,0.7325,38,1
57.vasp,-4001.77933284,324,0.64452,38,2
58.vasp,-4001.77931485,324,0.64416,38,1
59.vasp,-4001.77957657,328,0.71875,38,2
6.vasp,-4001.74174904,324,0.7215,42,2
60.vasp,-4001.77957409,328,0.71914,38,4
61.vasp,-4001.7864728,320,0.64392,38,3
62.vasp,-4001.78643567,320,0.64408,38,3
63.vasp,-4001.77816469,328,0.71285,40,1
64.vasp,-4001.78117771,324,0.70408,38,2
65.vasp,-4001.77991186,324,0.64429,38,3
66.vasp,-4001.77190275,328,0.7178,40,1
67.vasp,-4001.7856949,324,0.64783,38,1
68.vasp,-4001.77055823,332,0.73251,38,3
69.vasp,-4001.7705554,332,0.7327,38,4
7.vasp,-4001.74555584,320,0.68192,42,5
70.vasp,-4001.77932906,324,0.6443,38,5
71.vasp,-4001.77930408,324,0.64396,38,3
72.vasp,-4001.77957955,328,0.71852,38,2
73.vasp,-4001.77957704,328,0.71893,38,1
74.vasp,-4001.78644927,320,0.64366,38,1
75.vasp,-4001.78642968,320,0.64356,38,1
76.vasp,-4001.77988787,324,0.64397,38,5
77.vasp,-4001.78120108,324,0.69643,38,2
78.vasp,-4001.78569406,324,0.64785,38,5
79.vasp,-4001.77191026,328,0.71756,40,5
8.vasp,-4001.74173119,324,0.72224,42,5
80.vasp,-4001.77055526,332,0.73238,38,3
81.vasp,-4001.77055205,332,0.73251,38,4
82.vasp,-4001.77931627,324,0.64443,38,2
83.vasp,-4001.77932107,324,0.64405,38,4
84.vasp,-4001.7795755,328,0.71888,38,4
85.vasp,-4001.77957376,328,0.71929,38,1
86.vasp,-4001.78645431,320,0.64397,38,1
87.vasp,-4001.78643519,320,0.64391,38,5
88.vasp,-4001.77813005,328,0.6997,40,3
89.vasp,-4001.77862569,328,0.70335,40,2
9.vasp,-4001.74557226,320,0.66475,42,2
90.vasp,-4001.78525356,324,0.67177,38,2
91.vasp,-4001.77958718,328,0.703,38,1
92.vasp,-4001.77958645,328,0.70312,38,2
93.vasp,-4001.78642669,320,0.64427,38,3
94.vasp,-4001.7864137,320,0.64402,38,2
95.vasp,-4001.77053669,332,0.73309,38,2
96.vasp,-4001.77054022,332,0.73246,38,3
97.vasp,-4001.77926112,324,0.64512,38,4
98.vasp,-4001.77927397,324,0.64493,38,4
99.vasp,-4001.78526188,324,0.67176,38,5
