file,dft,c,bv,ang
219.vasp,-4642.6136642,320,0.62591,32
220.vasp,-4642.65471527,324,0.57589,30
221.vasp,-4642.60206878,324,0.60629,34
222.vasp,-4642.63983524,320,0.57503,32
223.vasp,-4642.64457114,320,0.5638,32
224.vasp,-4642.58363583,336,0.6354,34
225.vasp,-4642.61690096,320,0.58011,30
226.vasp,-4642.57997629,340,0.64665,32
227.vasp,-4642.61635127,332,0.62225,30
228.vasp,-4642.5888449,336,0.61352,32
229.vasp,-4642.65022496,324,0.594,30
230.vasp,-4642.57809031,340,0.64027,32
231.vasp,-4642.6248852,320,0.57794,32
232.vasp,-4642.67943358,316,0.53733,28
233.vasp,-4642.65184373,324,0.58362,30
234.vasp,-4642.66094517,320,0.5295,28
235.vasp,-4642.62140443,316,0.57077,32
236.vasp,-4642.60758553,320,0.57897,32
237.vasp,-4642.64829517,324,0.58641,30
238.vasp,-4642.59760213,332,0.63153,34
239.vasp,-4642.64580537,328,0.60389,28
240.vasp,-4642.61561534,332,0.62472,30
241.vasp,-4642.65636627,316,0.55436,30
242.vasp,-4642.6340084,324,0.59621,32
243.vasp,-4642.59659908,336,0.63906,34
244.vasp,-4642.60907043,332,0.62071,30
245.vasp,-4642.64590579,316,0.55152,32
246.vasp,-4642.68526963,312,0.53498,28
247.vasp,-4642.60517709,328,0.60182,32
248.vasp,-4642.61017323,320,0.62911,34
249.vasp,-4642.57408873,328,0.63312,34
250.vasp,-4642.57044117,340,0.62825,34
251.vasp,-4642.48423545,356,0.7509,36
252.vasp,-4642.61673924,328,0.61282,32
253.vasp,-4642.63684305,320,0.58239,30
254.vasp,-4642.61858866,328,0.62462,30
255.vasp,-4642.57845727,336,0.63101,36
256.vasp,-4642.56551324,340,0.6301,32
257.vasp,-4642.53582615,348,0.6655,34
258.vasp,-4642.57622713,332,0.65008,34
259.vasp,-4642.65900631,320,0.5572,28
260.vasp,-4642.65190331,324,0.56905,28
261.vasp,-4642.66324977,320,0.56216,30
262.vasp,-4642.56123444,332,0.65244,32
